"Item #","Technical Service","Pricing SKU / Tier","Estimated Unit Usage (incl. Buffer)","Unit Cost (USD)","Line Total (USD)"
"1.1","Azure Static Web Apps (Portal Hosting)","Standard Free Tier","1 Hosted Customer Portal (HTML/React)","0.00","0.00"
"1.2","Azure AI Document Intelligence","Prebuilt Invoice & Layout Model","1,000 Pages (RFP / PO / Invoice OCR parsing)","0.01","10.00"
"1.3","Azure OpenAI Service (GPT-4o)","gpt-4o Vision Endpoint","500 Image Triage Calls (~1.5M Tokens)","5.00","7.50"
"1.4","Microsoft Copilot Studio","Copilot Messages / Actions","2,500 Messages (Capacity Pack Buffer)","0.008","20.00"
"1.5","Power Automate & Dataverse","Process License & Storage","1 Month Sandbox Process Allocation","15.00","15.00"
"1.6","Azure Blob Storage & CDN","Hot Storage & Global CDN","10 GB Storage & Portal Assets","0.25","2.50"
"1.7","Custom Azure Back-End Infrastructure","Azure Functions / Web Apps","NOT REQUIRED","0.00","0.00"
"","","","","",""
"","SUBTOTAL (Base Consumption & Hosting)","","","","55.00"
"","CONTINGENCY / LIVE EVENT BUFFER (20%)","","","","11.00"
"","TOTAL RECOMMENDED CONSUMPTION & HOSTING BUDGET (USD)","","","","66.00"
